VERTIV-BB-MIB,,,,
,,,,
OID name,OID,access,type,units
,,,,
General System Information OIDs,,,,
sysDescr,1.3.6.1.2.1.1.1,read only,DisplayString,
sysObjectID,1.3.6.1.2.1.1.2,read only,OBJECT IDENTIFIER,
sysUpTime,1.3.6.1.2.1.1.3,read only,TimeTicks,
sysContact,1.3.6.1.2.1.1.4,read only,DisplayString,
sysName,1.3.6.1.2.1.1.5,read only,DisplayString,
sysLocation,1.3.6.1.2.1.1.6,read only,DisplayString,
sysServices,1.3.6.1.2.1.1.7,read only,INTEGER(1..100),
,,,,
General Device Information OIDs,,,,
deviceInfo,1.3.6.1.4.1.21239.5.1.1,no-access,other,
productTitle,1.3.6.1.4.1.21239.5.1.1.1,read-only,SnmpAdminString,
productVersion,1.3.6.1.4.1.21239.5.1.1.2,read-only,SnmpAdminString,
productFriendlyName,1.3.6.1.4.1.21239.5.1.1.3,read-only,SnmpAdminString,
productMacAddress,1.3.6.1.4.1.21239.5.1.1.4,read-only,OCTET STRING,
deviceCount,1.3.6.1.4.1.21239.5.1.1.6,read-only,Integer32(0..5),
temperatureUnits,1.3.6.1.4.1.21239.5.1.1.7,read-write,INTEGER {  			fahrenheit(0)   			celsius(1)  		},
productModelNumber,1.3.6.1.4.1.21239.5.1.1.8,read-only,SnmpAdminString,
productPartNumber,1.3.6.1.4.1.21239.5.1.1.9,read-only,SnmpAdminString,
productSerialNumber,1.3.6.1.4.1.21239.5.1.1.10,read-only,SnmpAdminString,
productPlatform,1.3.6.1.4.1.21239.5.1.1.11,read-only,SnmpAdminString,
,,,,
Internal sensors for units,,,,
internalTable,1.3.6.1.4.1.21239.5.1.2,no-access,other,
InternalEntry,1.3.6.1.4.1.21239.5.1.2.1,no-access,other,
internalIndex,1.3.6.1.4.1.21239.5.1.2.1.1,read-only,Integer32(1..100),
internalSerial,1.3.6.1.4.1.21239.5.1.2.1.2,read-only,DisplayString,
internalLabel,1.3.6.1.4.1.21239.5.1.2.1.3,read-write,SnmpAdminString(SIZE (0..25)),
internalAvail,1.3.6.1.4.1.21239.5.1.2.1.4,read-only,Gauge32,
internalTemp,1.3.6.1.4.1.21239.5.1.2.1.5,read-only,Integer32(-40..200),0.1 Degrees
internalHumidity,1.3.6.1.4.1.21239.5.1.2.1.6,read-only,Integer32(0..100),%
internalDewPoint,1.3.6.1.4.1.21239.5.1.2.1.7,read-only,Integer32(-40..200),0.1 Degrees
,,,,
Remote Temperature (RT) sensor,,,,
tempSensorTable,1.3.6.1.4.1.21239.5.1.4,no-access,other,
TempSensorEntry,1.3.6.1.4.1.21239.5.1.4.1,no-access,other,
tempSensorIndex,1.3.6.1.4.1.21239.5.1.4.1.1,no-access,Integer32(1..100),
tempSensorSerial,1.3.6.1.4.1.21239.5.1.4.1.2,read-only,DisplayString,
tempSensorLabel,1.3.6.1.4.1.21239.5.1.4.1.3,read-write,SnmpAdminString(SIZE (0..25)),
tempSensorAvail,1.3.6.1.4.1.21239.5.1.4.1.4,read-only,Gauge32,
tempSensorTemp,1.3.6.1.4.1.21239.5.1.4.1.5,read-only,Integer32(-400..2540),decidegrees
,,,,
Remote Airflow, Humidity, Temperature and Dewpoint (AFHT3) Sensor,,,,
airFlowSensorTable,1.3.6.1.4.1.21239.5.1.5,no-access,other,
AirFlowSensorEntry,1.3.6.1.4.1.21239.5.1.5.1,no-access,other,
airFlowSensorIndex,1.3.6.1.4.1.21239.5.1.5.1.1,no-access,Integer32(1..100),
airFlowSensorSerial,1.3.6.1.4.1.21239.5.1.5.1.2,read-only,DisplayString,
airFlowSensorLabel,1.3.6.1.4.1.21239.5.1.5.1.3,read-write,SnmpAdminString(SIZE (0..25)),
airFlowSensorAvail,1.3.6.1.4.1.21239.5.1.5.1.4,read-only,Gauge32,
airFlowSensorTemp,1.3.6.1.4.1.21239.5.1.5.1.5,read-only,Integer32(-400..2540),decidegrees
airFlowSensorFlow,1.3.6.1.4.1.21239.5.1.5.1.6,read-only,Integer32(0..100),
airFlowSensorHumidity,1.3.6.1.4.1.21239.5.1.5.1.7,read-only,Integer32(0..100),%
airFlowSensorDewPoint,1.3.6.1.4.1.21239.5.1.5.1.8,read-only,Integer32(-400..2540),decidegrees
,,,,
Remote Dew Point sensor,,,,
dewPointSensorTable,1.3.6.1.4.1.21239.5.1.6,no-access,other,
DewPointSensorEntry,1.3.6.1.4.1.21239.5.1.6.1,no-access,other,
dewPointSensorIndex,1.3.6.1.4.1.21239.5.1.6.1.1,no-access,Integer32(1..100),
dewPointSensorSerial,1.3.6.1.4.1.21239.5.1.6.1.2,read-only,DisplayString,
dewPointSensorName,1.3.6.1.4.1.21239.5.1.6.1.3,read-only,DisplayString,
